Year,Rank,Title,Studio,Worldwide,Domestic,Overseas,Category,Link
2000,1,Mission: Impossible II,Par.,546.4,215.4,331.0,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=mi2.htm
2000,2,Gladiator,DW,457.6,187.7,269.9,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=gladiator.htm
2000,3,Cast Away,Fox,429.6,233.6,196.0,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=castaway.htm
2000,4,What Women Want,Par.,374.1,182.8,191.3,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=whatwomenwant.htm
2000,5,Dinosaur,BV,349.8,137.7,212.1,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=dinosaur.htm
2000,6,How the Grinch Stole Christmas,Uni.,345.1,260.0,85.1,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=grinch.htm
2000,7,Meet the Parents,Uni.,330.4,166.2,164.2,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=meettheparents.htm
2000,8,The Perfect Storm,WB,328.7,182.6,146.1,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=perfectstorm.htm
2000,9,X-Men,Fox,296.3,157.3,139.0,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=xmen.htm
2000,10,What Lies Beneath,DW,291.4,155.5,136.0,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=whatliesbeneath.htm
2000,11,Scary Movie,Mira.,278.0,157.0,121.0,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=scarymovie.htm
2000,12,Charlie's Angels,Sony,264.1,125.3,138.8,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=charliesangels.htm
2000,13,Erin Brockovich,Uni.,256.3,125.6,130.7,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=erinbrockovich.htm
2000,14,Unbreakable,BV,248.1,95.0,153.1,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=unbreakable.htm
2000,15,Gone in 60 Seconds,BV,237.2,101.6,135.6,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=gonein60seconds.htm
2000,16,Chicken Run,DW,224.8,106.8,118.0,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=chickenrun.htm
2000,17,Vertical Limit,Sony,215.7,69.2,146.4,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=verticallimit.htm
2000,18,The Patriot,Sony,215.3,113.3,102.0,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=patriot.htm
2000,19,"Crouching Tiger, Hidden Dragon",SPC,213.5,128.1,85.4,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=crouchingtigerhpage=intl&country=CH&iddendragon.htm
2000,20,Miss Congeniality,WB,212.7,106.8,105.9,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=misscongeniality.htm
2000,21,Traffic,USA,207.5,124.1,83.4,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=traffic.htm
2000,22,Hollow Man,Sony,190.2,73.2,117.0,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=hollowman.htm
2000,23,102 Dalmatians,BV,183.6,67.0,116.7,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=102dalmatians.htm
2000,24,Big Momma's House,Fox,174.0,117.6,56.4,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=bigmommashouse.htm
2000,25,The Emperor's New Groove,BV,169.3,89.3,80.0,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=emperorsnewgroove.htm
2000,26,The Nutty Professor II: The Klumps,Uni.,166.3,123.3,43.0,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=nuttyprofessor2.htm
2000,27,Scream 3,Dim.,161.8,89.1,72.7,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=scream3.htm
2000,28,Chocolat,Mira.,152.7,71.5,81.2,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=chocolat.htm
2000,29,"Me, Myself and Irene",Fox,149.3,90.6,58.7,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=memyselfandirene.htm
